RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =           65     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     7.454D+03  9.961D+02
    1    4     1     0  ---    2  2.8D-06  8.4D-02  1.709D+03  5.558D+02
    2    5     0     0  con    0  1.0D+00  1.4D-02  1.522D+03  4.647D+02
    3    7     0     0  con    1  2.7D-01  3.5D-02  1.015D+03  3.097D+02
    4    8     0     0  con    0  1.0D+00  4.2D-02  1.638D+03  2.558D+02
    5    9     0     0  con    0  1.0D+00  2.5D-02  1.052D+03  1.888D+02
    6   10     0     0  con    0  1.0D+00  6.7D-02  5.138D+02  1.050D+02
    7   11     0     0  con    0  1.0D+00  5.5D-02  2.973D+02  6.700D+01
    8   12     0     0  con    0  1.0D+00  6.7D-02  1.717D+02  4.163D+01
    9   13     0     0  con    0  1.0D+00  7.2D-02  9.968D+01  2.674D+01
   10   14     0     0  con    0  1.0D+00  8.5D-02  5.601D+01  1.711D+01
   11   15     0     0  con    0  1.0D+00  9.9D-02  3.059D+01  1.083D+01
   12   16     0     0  con    0  1.0D+00  1.2D-01  1.572D+01  6.695D+00
   13   17     0     0  con    0  1.0D+00  1.3D-01  8.160D+00  4.079D+00
   14   18     0     0  con    0  1.0D+00  1.5D-01  4.366D+00  2.562D+00
   15   19     0     0  con    0  1.0D+00  1.6D-01  3.067D+00  1.789D+00
   16   22     0     0  con    2  1.4D-02  8.4D-03  1.767D+00  1.747D+00
   17   23     0     0  con    0  1.0D+00  1.3D-01  8.620D-01  1.453D+00
   18   24     0     0  con    0  1.0D+00  9.6D-02  5.889D-01  1.335D+00
   19   25     0     0  con    0  1.0D+00  9.6D-02  3.958D-01  1.294D+00
   20   26     0     0  con    0  1.0D+00  3.8D-02  2.718D-01  1.266D+00
   21   27     0     0  con    0  1.0D+00  9.9D-02  4.124D-01  1.230D+00
   22   28     0     0  con    0  1.0D+00  4.1D-02  3.110D-01  1.219D+00
   23   29     0     0  con    0  1.0D+00  7.0D-02  2.936D-01  1.211D+00
   24   30     0     0  con    0  1.0D+00  1.8D-02  1.008D-01  1.206D+00
   25   31     0     0  con    0  1.0D+00  5.8D-03  6.094D-02  1.205D+00
   26   32     0     0  con    0  1.0D+00  2.8D-02  1.428D-01  1.203D+00
   27   34     0     0  con    1  1.4D-01  3.3D-03  6.643D-02  1.203D+00
   28   35     0     0  con    0  1.0D+00  7.1D-03  5.544D-02  1.203D+00
   29   36     0     0  con    0  1.0D+00  1.4D-02  6.285D-02  1.202D+00
   30   37     0     0  con    0  1.0D+00  2.2D-02  4.305D-02  1.201D+00
   31   38     0     0  con    0  1.0D+00  1.6D-02  4.396D-02  1.200D+00
   32   39     0     0  con    0  1.0D+00  6.7D-03  2.544D-02  1.200D+00
   33   40     0     0  con    0  1.0D+00  4.3D-03  2.333D-02  1.200D+00
   34   41     0     0  con    0  1.0D+00  8.4D-03  2.345D-02  1.200D+00
   35   42     0     0  con    0  1.0D+00  8.3D-03  2.379D-02  1.200D+00
   36   43     0     0  con    0  1.0D+00  1.3D-02  3.652D-02  1.199D+00
   37   44     0     0  con    0  1.0D+00  8.8D-03  2.463D-02  1.199D+00
   38   46     0     0  con    1  1.1D-01  1.7D-03  4.265D-02  1.199D+00
   39   47     0     0  con    0  1.0D+00  5.7D-03  2.389D-02  1.199D+00
   40   48     0     0  con    0  1.0D+00  3.1D-03  2.326D-02  1.199D+00
   41   49     0     0  con    0  1.0D+00  7.3D-03  2.975D-02  1.199D+00
   42   50     0     0  con    0  1.0D+00  1.0D-02  3.301D-02  1.199D+00
   43   51     0     0  con    0  1.0D+00  3.7D-02  4.706D-02  1.199D+00
   44   52     0     0  con    0  1.0D+00  5.6D-02  4.348D-02  1.198D+00
   45   53     0     0  con    0  1.0D+00  3.8D-02  3.015D-02  1.197D+00
   46   54     0     0  con    0  1.0D+00  1.2D-01  7.459D-02  1.196D+00
   47   55     0     0  con    0  1.0D+00  1.1D-01  7.947D-02  1.194D+00
   48   56     0     0  con    0  1.0D+00  4.9D-01  1.340D-01  1.189D+00
   49   58     0     0  con    1  3.7D-01  4.3D-01  3.203D-01  1.185D+00
   50   59     0     0  con    0  1.0D+00  7.9D-01  5.642D-01  1.181D+00
   51   60     0     0  con    0  1.0D+00  5.7D-02  2.051D-01  1.174D+00
   52   61     0     0  con    0  1.0D+00  2.6D-01  1.409D-01  1.170D+00
   53   62     0     0  con    0  1.0D+00  1.5D-01  1.557D-01  1.169D+00
   54   63     0     0  con    0  1.0D+00  6.8D-01  2.597D-01  1.159D+00
   55   64     0     0  con    0  1.0D+00  1.4D+00  2.660D-01  1.146D+00
   56   65     0     0  con    0  1.0D+00  1.5D+00  2.259D-01  1.131D+00
   57   66     0     0  con    0  1.0D+00  1.9D+00  2.931D-01  1.119D+00
   58   67     0     0  con    0  1.0D+00  1.7D-01  2.101D-01  1.105D+00
   59   68     0     0  con    0  1.0D+00  7.9D-01  1.636D-01  1.092D+00
   60   70     0     0  con    1  4.2D-01  4.2D-01  4.203D-01  1.087D+00
   61   71     0     0  con    0  1.0D+00  2.0D+00  5.390D-01  1.082D+00
